Nama Akun,Komentar,Sumber
@fairal123,"Org baru d pake, MANTAP!",Narasi Newsroom
@fairal123,"Di pertanyaan pertama dr detik com yg sdh d develop, sudah keluar out of context nya, MY GOD!",Narasi Newsroom
@saiful_adala,pemimpin masa lalu untuk masa lalu dan pemimpin masa ini untuk masa ini,Narasi Newsroom
@andimaulana9428,Jam 3:04:56 ada yang di potong vidionya apa ya,Narasi Newsroom
@checkdhar,"Astaghfirullah, Pak Prabowo! smg Allah segerakan membuka hatimu seperti dulu.",Narasi Newsroom
@mangiferap,"7:37 ""semua negara kuat, pertaniannya kuat"" ini kakek2 hidup tahun berapa sih? Monaco nggak punya pertanian tapi kaya raya pak😂😂😂. kalo mau maju tuh jual jasa bukan produk. tuh Panama niru caranya negara2 kecil di eropa dengan jualan jasa perbankan bisa maju.",Narasi Newsroom
@garitichlas2325,"Journalist  itu.Banyak tahu hal ,tapi sedikit2 aja. Apalagi soal ekonomi... berdiskusi dgn Presiden .Yg tiap saat mendapat input dr staf ahli2 dari berbagai bidang ilmu..Kedepan undang jangan journalist aja.tapi Coloumnist  juga..",Narasi Newsroom
@thistora929,menghindar pertanyaannya kyk ngehindar debt collector aja 😂,Narasi Newsroom
@vanadiayo7096,Bandara swasta itu berbahaya bagi kedaulatan ga siy? 🤔,Narasi Newsroom
@ardiprasetyo911,"Prabowo bilang , PETANI HARUS MAKMUR,,!!!
Camkan itu wahai kalian rakyat biasa..",Narasi Newsroom
@MuhammadIqbal-xi6cc,"Anak bungkus makan siang gratis
Ditanya untuk siapa
Untuk ibu saya di rumah

YA ORANG TUANYA DIKASI KERJAAN DONG WO😂😂😂",Narasi Newsroom
@ranijkt9477,"3 jam menjadi sia"" tak ads yg berbobot dari jawaban",Narasi Newsroom
@adzroulakifah7527,"""yang udah kaya gamakan gapapa"" HEII PAK. PENTINGNYA MENENTUKAN SASARAN. ITU UANG TERBUANG BANYAKK",Narasi Newsroom
@moccoku295,"Gak malu kah? 
Gw malu bngt co Indonesia dipimipin kaya gini😢",Narasi Newsroom
@Mr.Amjoktuyu,"OMKE GAMS OMKE GAMS 
BICARA PUN TIDAK JELAS
🤡🤡🤡",Narasi Newsroom
@syahrulfauzi6344,"Hitung berapa banyak Pororo ngomong ""Antek Asing""?",Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@Bozz-i9v,Nyesel pilih prabowo ❤,Narasi Newsroom
@wira.ahligizi3393,4 Sehat 5 Sempurna? Are you serious?,Narasi Newsroom
@senjadwinurfitriani8265,Ini kita sebagai rakyat kita harus diem aja apa gimana punya pemimpin kaya gini?,Narasi Newsroom
