Nama Akun,Komentar,Sumber
@fishybrad,@@Kinggba emang buzzer dia.,Narasi Newsroom
@hapkorsel6259,BoWoKonToL😂,Narasi Newsroom
@mangametchanel2540,Gk ada jawaban Yg menjawab pertanyaan rakyat..  Dasar Wowok omon omon doang,Narasi Newsroom
@jurunpalungan2305,Dari waktu debat capres juga udah ngelantur,Narasi Newsroom
@Ibrahimzidane05,Pak Prabowo mengira Mayoritas masyarakat adalah pemilihnya dgn pola pikir dan komunikasi yang sama.. 😂😂😂,Narasi Newsroom
@RatihUmar-r1d,Banyak yg tidak tahu malu menjelekkan presiden tpi ujung2nya menikmati hasil kerja pemerintahan,Narasi Newsroom
@tafazzulhaniftricaesaroni3183,hah?,Narasi Newsroom
@tafazzulhaniftricaesaroni3183,hah?,Narasi Newsroom
@tafazzulhaniftricaesaroni3183,hah?,Narasi Newsroom
@ikhsanprimaanugrah,"1:01:14  ngga, sekarang survei2 BPBD damkar orang2 jauh lebih percaya damkar. Wkwkwk",Narasi Newsroom
@odelucky,"indonesia gelap salahin pemerintahnya HAHA kalian aja buang sampah masih sembarangan, komentar di media sosial seolah udah jadi ahli cuih",Narasi Newsroom
@awwadalweny3443,Semangat nyapuinnya ya Zer.,Narasi Newsroom
@odelucky,@ padahal gw komen kaga ngebela juga dikatain zer wkwk lucu,Narasi Newsroom
@awwadalweny3443,"@@odelucky ""Indonesia gelap salahin pemerintahnya haha komentar di media sosial seolah udah jadi ahli cuih"" lucu amat sih kwkwkwk zer zer",Narasi Newsroom
@dinamariana2301,"Sukak² dia aja mo omon², badai PHK, TNI POLRI nglunjak, suara rakyat sudah gak didengar...msh ngeyel Indonesia baik² aja",Narasi Newsroom
@iboyajis,Abusive itu kesannya dimaklumkan? Ga ada penjelasan tindak lanjutnya? Ada yang bisa menjelaskam?😅,Narasi Newsroom
@Daniel-iq4lb,"sudah biasa di abusive mungkin, jadi maklum nyahahaha",Narasi Newsroom
@blueberrybisc,"Gaada penjelasannya apalagi part ambulans tim medis dibelokkan di polres gaada penjelasan gaada solusi, malah ngang ngong aparat dilemparin plastik isinya air kencing lah, aparat ga bawa senjata lah",Narasi Newsroom
@hadzamirafi378,🍿,Narasi Newsroom
@jurunpalungan2305,"Pantes mba Nana ngga kelihatan, ternyata lagi nyiapin Ini",Narasi Newsroom
@rilexjokovid1938,Narasi Najwa = Bela Prabowo 😊,Narasi Newsroom
@tafazzulhaniftricaesaroni3183,"hah? serius?? dimana nya si?? penasarannn, ketinggalan berita oiii😊. selama ini cuman liat tempo sama metroo",Narasi Newsroom
@ltpginting9768,tonton full dek jgn setengah2,Narasi Newsroom
@prasetyo5789,save your time & energy... jangan lupa playback speed nya dipercepat 1.25 atau 1.5x :D,Narasi Newsroom
@rionaldysaputra,Kwkw ia lg eeeeeeee mulu 😂,Narasi Newsroom
@daviddzaky1065,"terima kasih sarannya, baru engeh",Narasi Newsroom
@elvinaindradiva2140,😂😂,Narasi Newsroom
@drawhanidraw,Terima kasih sarannya 😂,Narasi Newsroom
@adillarizki8667,2x bahkan ini😊,Narasi Newsroom
@bambangsupriadi9223,Kurs dollar 17.000 lho....,Narasi Newsroom
@fotodekacom,Berharap 13.000 ? Terus komoditi export Indonesia nyungsep dong setelah dikonversi?😮😢,Narasi Newsroom
@evhanstorytv,"Isinya bener2 kosong, buset dahhhhhh",Narasi Newsroom
@tafazzulhaniftricaesaroni3183,BENERR😂😂 3 JAM GUA NONTON SAMBIL NAHAN LAPER,Narasi Newsroom
@kubiku,Professional Yapper,Narasi Newsroom
@subagiokusumasubrata7466,Para pendemo negeri ini termasuk mahasiswa TIDAK BISA BEDAKAN Unjuk rass dengan Unjuk Paksa,Narasi Newsroom
@suhriar4613,"ngomong pertanian mulu, tapi di otaklu cuma sawit. halah omon2",Narasi Newsroom
@masagusahmad20,"Di tanya apa, jawab apa. Seperti biasa😅",Narasi Newsroom
@hiraatharaniqa2416,Baru mau bilang gitu 😂😂,Narasi Newsroom
@aletssunset244,Besok kasih pertanyaanya ke wapresnya biar ngelag,Narasi Newsroom
@s.hariyanto4525,jadi inget beberapa hari lalu waktu lebaran nenek gw cerita tentang dia jaman dulu omongannya ngelantur kesana kamari tapi tetep kita dengerin,Narasi Newsroom
@AnggoroDps_9,Ohhh neneknya dari Partai merah yaa. Pantes emang karena neneknya kalah nyalonin  jadinya mulai ngelantur,Narasi Newsroom
@saudagarxauusd,yg angkat mayat korban di aceh. lebih banyak FPI pak. bukan nya polri. hadeeh !..,Narasi Newsroom
@davebhianco4748,"dari dulu udah gw bilang, pilih GANJAR, makan tuh omon omon!",Narasi Newsroom
@DaNa-ok6wb,"Pangan - energi - air harus swasembada?! omon2 doang bpk ini. Aku lbh senag lihat Kim Jong Un, tanpa bnyak omon2 anak buahnya telah berbuat sesuatu. Trum saja angkat topi.",Narasi Newsroom
@aldy_akbar,awas tantrum.,Narasi Newsroom
@Hj.NurhidayatiDahlan,"wow, mengakui kemenangannya krn dibantu pendahulunya",Narasi Newsroom
@betterunknown1194,"Keren ada orang Karo marga ginting ikut dalam meja mewawancarai..
Mejuah Juah!",Narasi Newsroom
@SulisTyowati-el8kl,"Para jurnalis pinter dan cerdas utk membangun bangsa Indonesia lebih maju dan hebat.
Yg ahli nyinyir biarkan karena mereka atek asing tidak senang Indonesia maju❤❤",Narasi Newsroom
@taufikrahman2403,Tunai kan  saja janji janji kampanye nya..biar gak omon- omon  doang 😅,Narasi Newsroom
@bat-bimoaryotv983,"SALUT EDITORNYA NGEDIT 3,5 JAM!!!",Narasi Newsroom
@nouvalhermansyah2820,"Ini langsung di operasi in operator no cut, ga ada edit after nya",Narasi Newsroom
@apiknemens,Pasti muak editor nya😂,Narasi Newsroom
@internetpunks13,"11:50 harga-harga aman katanya wkwk
nyokap gua tiap pulang dari pasar ngedumel mulu tun harga cabe mahal
aman darimane?",Narasi Newsroom
@kolangkaling3801,semoga narasi tidak ikut terbungkam ingat masyarakat mengawasi,Narasi Newsroom
@ghiaandiky165,"Coba pemred Tempo diundang, makin habis prabowo",Narasi Newsroom
@gathotdwilaksono326,Jawabannya banyak yg ga on point. Sekelas presiden lho ya ini ya,Narasi Newsroom
@chulas-i1y,"Kocak,di kasih pertanyaan,di jwb ngelawak.😅😅",Narasi Newsroom
@addiscus,Makin lama didengerin makin ngeselin.,Narasi Newsroom
@lindakareem7090,"🤣🤣🤣,rasanya pen bilang ""ndasmu"" gak sih?😭😭",Narasi Newsroom
@SamsulKhoir-w5t,Prabowo itu negarawan sejati brow❤❤❤❤,Narasi Newsroom
@amelsyahro6821,"3 1/2 jam yapping doank ni orang, gmn gak ngeselin",Narasi Newsroom
@maizarindra498,"Ya gitulah kalo hati penbenci, saya aja bisa nonton anis berjam2 😊",Narasi Newsroom
@rutsabatbungaaprilia3585,"Aku aja ga berani liat kak, udah nebak dari komen isinya gimana 😅",Narasi Newsroom
@Natlusqq,FFFFAAAAAKKKKK IYAAA LAGI PLEASE,Narasi Newsroom
@ilham0906,​@@rutsabatbungaaprilia3585 yg komen juga ga nonton 😂😂 emang pengen hujat aja😂😂,Narasi Newsroom
@6G0D_,"kaya aki aki diajak ngomong, muter muter 😂",Narasi Newsroom
@rizkazein5686,😂😂😂hahahha terwakilkan...,Narasi Newsroom
@satyapararaton3197,"​@@rutsabatbungaaprilia3585 Tonton aja kak, anggap aja hiburan. 😂",Narasi Newsroom
@MrStone-kk9nr,@@6G0D_ kek kake ama cucu nya ngebahas kalo sekolah muterin gunung everest dlu 5 kli,Narasi Newsroom
@kei-iu7iw,yakaan?? hebat btt gada yg gebrag meja,Narasi Newsroom
@6G0D_,@ wkwk presiden lo itu bang 😹,Narasi Newsroom
@ownyasmin,emang lu nonton ?​@@ilham0906,Narasi Newsroom
@A.I_Play,@@maizarindra498 ya karena anis ngomongnya bagus. secara tidak langsung situ mengiyakan wkwk,Narasi Newsroom
@maizarindra498,"@@A.I_Play oh belum tentu, bukan karena Anisnya, tapi karena saya yang membuka sudut pandang yang berbeda tanpa tendensi",Narasi Newsroom
@A.I_Play,"@@maizarindra498 kalau sudut pandang situ sungguh sangat terbuka kenapa sangat tertutup terhadap sudut pandang masyarakat yang resah dikatain ""ndasmu"", ""situ yang gelap"" dll sama pemerintah sendiri? seharusnya paham dong yah kenapa masyarakat pada begini, kan sipaling sudut pandang wkwkwkwk",Narasi Newsroom
@maizarindra498,"@A.I_Play  saya menerima sudut pandang, tapi saya juga punya sikap atas keyakinan saya sendiri, anda tidak bisa memaksa keyakinan orang masing2",Narasi Newsroom
@A.I_Play,@ anda yang memaksakan keyakinan anda kok wkwkwk. situ yang ngatain TS punya hati pembenci. padahal anda nggak tau kan apa dampak kebodohan dari kebijakan pemerintah kita yang membuat dia kesel denger prabowo? atau bisa aja karena memang ngomongnya nggak nyambung dan berlawanan dengan fakta di lapangan makanya dia kesel. sipaling sudut pandang deh anda ini memang wkwkwk,Narasi Newsroom
@maizarindra498,"@A.I_Play  niat banget lu debat disini, apalagi klo gw balas terus makin dapat dopamine nya wkwk",Narasi Newsroom
@A.I_Play,@@maizarindra498 seneng aja saya ngeladeni orang kayak situ wkwk. gampang dicounternya wkwk,Narasi Newsroom
@maizarindra498,"@A.I_Play  ya gampang karena saya malas, gak antusias, gak niat, lagi capek, dan karena saya debat gak disini aja wkwkw",Narasi Newsroom
@MrSomyaputra,"Kebencian membutakan mata untuk melihat kebenarannya.. 

Kenapa Narasi isinya buzzer semua?",Narasi Newsroom
@bils7497,​@MrSomyaputra bagaimana rasanya jadi mahluk hina,Narasi Newsroom
@wokcoy,masi ada yg bilang mbak nana diem? 😁,Narasi Newsroom
@alvianks,kayak para lelaki ngumpul di warkop. cerita ngalor ngidul bahkan bahas alien,Narasi Newsroom
@WahyuniNingshi,"UDAH SAYA LIAD DI VIDEO LAIN KETIKA NANA BERTANYA TENTANG RUU POLRI, JAWABANYA NGAUR.... IT'S MEAN,,, BUANG2 WAKTU NONTON 3 JAM INI,, DONGENG SEMUA ISINYA LOL",Narasi Newsroom
@phantom6952,"Presiden Prabowo Menjawab ❌
Presiden Prabowo Membantah ✔️",Narasi Newsroom
@jerryklisman,bener pula 0W0 Membantah😂,Narasi Newsroom
@kreativfineart4461,nggk juga,Narasi Newsroom
@luqmxxxn,Wkwkwk riil 😂,Narasi Newsroom
@AryadiMAli,wkwkwk..,Narasi Newsroom
@bagusutoro9547,Jangan asal ngomong,Narasi Newsroom
@wahyusuryaabdi2254,@@bagusutoro9547 lah emg si owo gtu doang bsa nya kan? buzzer 700 perak kah?,Narasi Newsroom
@feelosocial,Karna kamu gatau perbedaan Interview dengan Dialog 🤣🤣🤣 Kamu lebih suka gaya Jokowi dimana pertanyaaan di draft lebih dulu lalu dijawab pakai text 🤣🤣🤣,Narasi Newsroom
@CamatZeus,Anak Abah lgi gibah 😂,Narasi Newsroom
@abdillahazlam1755,😂😂setuju,Narasi Newsroom
@AriskyRiyan-i8w8g,Presiden prabowo ngelantur !!!,Narasi Newsroom
@asepudin7156,​@@AriskyRiyan-i8w8gso tau lu... Emang lu pinter???? Yg pinter ngomong nya belum tentu pinter mengatasi masalah....,Narasi Newsroom
@nituru,"Meetnitelive menyimak : serius amat tanya bantahnya, langsung dimasak aja🎉🎉",Narasi Newsroom
@r3vz.109,​@@asepudin7156solusi dari pak presiden yang membawa dampak baik yang mana ya? Atau gaada satupun? Ya berarti beliau kurang mampu dalam memberi solusi apalagi utk rakyat,Narasi Newsroom
@mahmudhandoyo3570,Waktu yg akan menjawab tinggal lihat 5 tahun lagi akan menjadi Indonesia emas atau Indonesia cemas..???,Narasi Newsroom
@MrStone-kk9nr,aseli,Narasi Newsroom
@terangterusyuk,"Jangan begitu kamu 🙄 

Bung Bowo sudah berusaha menjawab sekuat tenaga , dan jawaban itu sudah murni dari hati dan imajinasi nya 🙄",Narasi Newsroom
@moenajadmmh194,"Kalau menit pertama mungkin sifatnya orientatif, tapi dimenit satu jam ke atas itu benar² luar biasa jawabannya, karena udah skritis.",Narasi Newsroom
@dimasseto7248,"nyinyir dan ngeluh mulu 
kl nonton dan mikir dikit aja, logis kok penjelasan prabowo
ya setidak nya menghargai dia berani di tanya oleh para pemred tanpa titipan pertanyaan",Narasi Newsroom
@Rizaru99,bukan menjawab yg penting tp yg penting menjawab,Narasi Newsroom
@BisikMisteri,Wowo full omon-omon,Narasi Newsroom
@azriel_alrifqyazriel6815,anak abah diem aja,Narasi Newsroom
@catwildstreet,"​@@asepudin7156diaa siapa bro? ""presiden"" tapi kok kulitas berpikir seperti itu!!.",Narasi Newsroom
@rahmatahalu164,"​@@CamatZeuslah ngapain bawa² anak abah 😂 ,",Narasi Newsroom
@ardhyfitri,"Bantahan jg sbg jawaban kan,drpd menghindar",Narasi Newsroom
@lalisamanoban837,​@@dimasseto7248lah tugas presiden itu wajib d kritik elu aj yng jd orng twrlalu ya ya ya dan ya tugasnya vital kog jawaban apa apa nglantur dr sini jg uda keliatan kualitas dan mw d bawa kemana negara kita ini,Narasi Newsroom
@phantom6952,"@@dimasseto7248 itu yg demo RUU TNI berani gak lu katain ngeluh dan nyinyir depan mereka? kalo gak lu yg digebukin.

gw udah tonton, jawabannya muter2 aja, ditanya transparansi malah jawab kan anda punya DPR, padahal DPR isinya 80% Koalisi Prabowo semua, terus dijawab lagi ngeles sisanya kan oposisi, padahal poinnya bukan itu, mana Draft UUnya di Website DPR?",Narasi Newsroom
@phantom6952,"@@azriel_alrifqyazriel6815 udah lewat Pilpresnya bro, masih aja anak abah, noh liat tu Korupsi gila2an, PHK sana sini, IHSG ambruk, rupiah melemah, bangun bro, jangan kebanyakan mimpi",Narasi Newsroom
@mylordofficial5679,Maunya apa sih,Narasi Newsroom
@dimasseto7248,"@@phantom6952 itu yg demo ruu tni teralu paranoid, hari gini dwi fungsi tni?
mang pertanyaan nya apa yg di jawab  muter2?",Narasi Newsroom
@dimasseto7248,"@@lalisamanoban837 dari td gw nanya, mang pertanyaan nya apa yg jawaba nya ngelantur ?",Narasi Newsroom
@satiramulawi757,"Hidup jgn pesimis bro,harus semangat tetap optimis",Narasi Newsroom
@pricylianatalinar978,Presiden Prabowo menjawab dengan bantahan. 😂,Narasi Newsroom
@soak056,Kalau memang benar faktanya dan berbeda dengan pertanyaan harus lah dijelaskan ataupun dibantah,Narasi Newsroom
@gretamarielle,kalah sama anak d1 yg pinter pidato,Narasi Newsroom
@penpen5871,"Lagian tinggal jawab, iya demi kepentingan teman saya sesama militer. Balas budi mereka udah dukung saya. Iya saya ga ngerti cara ngatasinnya rupiah yang melemah. Gitu aja repot",Narasi Newsroom
@slovvdecayy,full video isinya bantahan,Narasi Newsroom
@Ollacigi,For sure... Dr smw jawaban mayoritas nunjukin gmw peduli apa yg sbnernya terjadi SM rakyat n GAMAU TAU jg😂,Narasi Newsroom
@hannoman7078,​@@Rizaru99😅😅,Narasi Newsroom
@hannoman7078,​@gretamarielleni No garantee,Narasi Newsroom
@lascappp,@@CamatZeus oon,Narasi Newsroom
@muhammadbudi752,Bicara seperti bukan presiden,Narasi Newsroom
@anasss5619,Nahh💯,Narasi Newsroom
@Dehanfin,Omon omon,Narasi Newsroom
@jramoh,"Bantah aja, emang udah keliatan kalo dia udah ngikutin style Bapak Mantunya 100%. Gaya bicaranya aja udah persis. Jangan2 Bapak Mantunya udah jadi Player Support tapi gak keliatan. Bapak Mantunya bisa sulap teleport orang sedangkan Wowo cuma bantah2 aja 🤣🤣🤣🤣🤣🤣👻",Narasi Newsroom
@WulanNurul-wd6lz,Up,Narasi Newsroom
@chetzu961,"Bukan membantah, tapi menjawab tidak nyambung",Narasi Newsroom
@SunDay1618,Tantangan buat Najwa sihab kan punya media besar coba undang semua ketua partai  soal uu polri  dan tni,Narasi Newsroom
@YannAyani,Kalian punya wakil rakyattt... hello wakil rakyatt apa wakill koruptorrrr awokwowkwowow,Narasi Newsroom
@internetpunks13,"kuping kanan dengerin jawaban beliau
kuping kiri dengerin lagu Seringai - Omong Kosong",Narasi Newsroom
@AndineYafira,Ngantuk 🥱,Narasi Newsroom
@AbdulRois-pt6wv,Tidak ada isinya,Narasi Newsroom
@pipipchannel54,Dengan membuka komunikasi sprt inipun sudah sangat bagus..terlepas dr jawabannya yg kurang memuaskan. presiden kmarin mana kmarin berani kaya gini,Narasi Newsroom
@sabdaniaga3537,Buzzeer lw yaakk,Narasi Newsroom
@khansafathina7240,Krn jubir kepresidenannya ga berfungsi & komunikasinya buruk,Narasi Newsroom
@juraganbeat,"Pak Rupiah udah melemah, mau gagah-gagahan apa lagi, ngga laku dagang nasionalisme di pasar, Danantara pakai bank BUMN aman ngga tuh duit orang? katanya mau Indonesia emas, malah balikin dwifungsi TNI ama banyakin wewenang kepolisian, ngga nyambung atuh, itu namanya otoriter, tolong itu arogansi, sifat bossy itu dibuang jauh, pak ingat, pajak itu dibayar buat rakyat menikmati hasil dari pembangunan bukan dapat todongan senjata, masih belum terlambat pecat2in mentri di kabinet gemuk, biar ramping nyambung ama efisiensi, belum terlambat bawa jokowi untuk diadili karena banyaknya proyek tidak terpakai bahkan mangkrak, terserah aja si, ini hanya saran seorang netizen, oh iya jangan pakai buzzer buat bales komen rakyat, apalagi retas kirim whatsapp chat ancaman, udah ngga jaman begitu, malu ama pemimpin negara luar yg membuka ruang untuk rakyat dan pemimpin saling bertukar pikiran.",Narasi Newsroom
@nouvalhermansyah2820,Iya arogan banget.,Narasi Newsroom
@SUTIJO_SIAHLI,Malahan bagus itu arogan. Tapi arogan pada para koruptor pantes tuh,Narasi Newsroom
@enalsyah,Semangat KK argumen KK Bagus🎉🎉🎉🎉,Narasi Newsroom
@SamsulHadi-k8t,Pencapaianya apa ?🤣🤣🤣,Narasi Newsroom
@Manusia_Biasa_D,"balikin Dwi Fungsi ABRI ... ????
bisa ente jelaskan makna dari Dwi Fungsi ABRI ???",Narasi Newsroom
@Manusia_Biasa_D,​@@SamsulHadi-k8t kelihatan sekali kalau ente TDK menonton video ini sampai habis.,Narasi Newsroom
@adnanfh1650,"Kan ga ada lagi dwifungsi abri, iya kan???",Narasi Newsroom
@s.hadi2592,😂😂 udah kalok gak faham diem aja...,Narasi Newsroom
@adithyalatuperissa,Terlalu negatif mas nya.. Ngelantur,Narasi Newsroom
@slotmodalsedekah4648,Sudah nonton full mas,Narasi Newsroom
@ostube38,"Kira"" menurut anda presiden seperti apa yang dibutuhkan Indonesia saat ini? Sebelum menjawab, sy sarankan anda melihat ke belakang terlebih dahulu",Narasi Newsroom
@falihrahman9340,"kayanya make dah ini orang, jelas² sudab dijelaskan di video, antara 2 kemungkinan, ga nnton sampe habis atau emg ga nyampe aja otaknya buat nyerna",Narasi Newsroom
@Tenerage,"Kayaknya harus nonton ulang sampai habis, pahami secara konteks dan dasar berpikir pak prabowo, kenapa pandangan di kebanyakan media begini dan kenapa pak presiden melihat seperti itu. Banyak klue disana.",Narasi Newsroom
@dimasseto7248,"nonton yg full, jgn sepotong2
Para jurnalis/pemred yg hadir disana memahami penjelasan dan visi prabowo, bukan nyinyir bahkan skeptis seperti anda",Narasi Newsroom
@aemerth,"@juraganbeat Sabar om, banyak bener yang ga ngerti",Narasi Newsroom
@aemerth,Ditanya apa jawabnya apa… miss the point,Narasi Newsroom
@dimasseto7248,"@@aemerth emang nya di tanya apa dan jawab nya apa ?
anda nonton full ga ?",Narasi Newsroom
@fishybrad,@@juraganbeat setuju apalagi soal buzzer2 dan ancem2. pinter dia acting gatau arti buzzer,Narasi Newsroom
@fishybrad,@ iya iya pinter lo,Narasi Newsroom
@muhamadnurhuda6725,Bang di suruh nonton ulang sama buzzer 400perak,Narasi Newsroom
@cokjaran5744,​@@dimasseto7248klo kita sering baca dan liat yg beredukasi pasti kita tau ini seperti apa ... Jadinya ngantuk 😴,Narasi Newsroom
@NagaJelita,Perasaan gk rupiah doang yg lemah,Narasi Newsroom
@justrival5408,"Coba nonton, dan pahami. Dan sebelum memahami hilangkan semua prasangka dulu. Ibarat ngisi air tongnya dikosongin dulu jangan tong isi air kencing terus diisi air bersih. Then you'll understand",Narasi Newsroom
@wikannugrahajaya4947,"Banyakan yg bales komen ini buzzer, itu2 aja akun yg bales di tiap komen yg kontra, tipikal bgt textnya, para buzzer pada nonton full jg ngga, jangan2 cuma modal copas text doang buat balesin komen2 netijen yg kontra ma video ini?",Narasi Newsroom
@aemerth,"@@wikannugrahajaya4947 disuruh nonton ulang sama buzzer, padahal mereka keknya yang ga nonton full. 400 perak masih mahalan kuota",Narasi Newsroom
@pinkgangsta6157,"THIS !!! Sekarang jamannya transparansi. rakyat bisa menilai dan membandingkan kebijakan dan skill leadership pemimpin negara ini dg negara luar dalam menghadapi isu yang sama.

contoh US tarif. kalo lihat statement dr pemimpin negara lain sangat JOMPLANG.

Pak pleaseeee wake up, ayok bangun, sadarrrr.",Narasi Newsroom
@pinkgangsta6157,"​@@ostube38 presiden yang mendidik, yang bisa public speaking, yang bisa menjelaskan secara runut, komprehensif, menyeluruh, paham isu, detail oriented, paham akar masalah, bisa menjelaskan dampak² isu² global ke kondisi lokal, bisa mengambil solusi pasti tegas dan tidak plin-plan. selalu mengambil keputusan dan menetapkan kebijakan yang bener² bijak yang sebelumnya dikaji, tidak check ombak dulu, tidak plin-plan dan membuat was-was.

Semua pendapat dianggap penting, semua orang dianggap penting, tdk peduli siapa itu.

pejabat ≠ pemimpin
pemimpin= pendidik

karena skill minimal pemimpin adalah yang amanah, fathanah cerdas, shidiq jujur, tabliq bisa menyampaikan.

CMIIW.",Narasi Newsroom
@pinkgangsta6157,"​@@ostube38 bare minimum bisa public speaking, paham apa yang diomongkan, yang mau diomongkan udah terencana dan terkonsep di otak.

- Ngasih tau apa yg sedang terjadi
- Kasih gambaran apa dampaknya
- Jelasin langkah2 apa yg dilakukan
- Dan yang paling penting, ngajak semua untuk menghadapinya bareng2

Kenapa yg terakhir itu gue bilang paling penting? Karena hidup bernegara ya bareng2. Gak bisa kayak pemerintah kita sekarang yg “Udahlah lu percaya aja sama gua, lu diem aja.”

VALUE > TOKOH yaa

Contoh yang bisa dilihat (ini contoh aja jangan lihat SIAPA TOKOHNYA tapi lihat BAGAIMANA PENYAMPAIANNYA, perencanaan dan pelaksanaannya)

- Penjelasan Anies Baswedan saat menghadapi covid 2020
- PM Singapura saat menghadapi US tarif 2025

sekali lagi value > tokoh, I'm not one of their fans, but I learn so much from their presentation.",Narasi Newsroom
@dimasseto7248,@@muhamadnurhuda6725 era keemasan buzzer itu jaman jokowi. prabowo aja ga ngerti apa itu buzzer,Narasi Newsroom
@achmad9608,Jelasin bang? Mau dengar dari yg mengerti ​@@falihrahman9340,Narasi Newsroom
@kduty236,​@@muhamadnurhuda6725hahahaha berurutan pula lagi itu komentarnya kayak bot wkwk,Narasi Newsroom
@wydkeyy,Mantap mba Nana tetap bisa bersikap elegan di tengah-tengah banyak yg carmuk wkwkw,Narasi Newsroom
@taufikrahman2403,Hidup Jokowi 😅,Narasi Newsroom
@Reinhard_01,3:04:18 sungguh membuat kita makin ga percaya danantara.. 😂,Narasi Newsroom
@riosimon9821,kacau brok kacau,Narasi Newsroom
@Njruchannel,"netizen harusnya obyektif, penjelasannya clear semoga eksekusinya sesuai harapan. tidak ada yg instan dengan kondisi sekarang",Narasi Newsroom
@davidsimanjuntak71,M,Narasi Newsroom
@asepudin7156,❤❤❤❤ prabowo hatinya jujur dan bersih,Narasi Newsroom
@nurhardiansyahpanyalai6797,"Asbun
Aspal
Jaka Sembung",Narasi Newsroom
@azrulaziz1847,Judul yg semesti nya “JAWABAN DARI SI PENDONGENG HANDAL”,Narasi Newsroom
@Kusumawardhani1213,"G banyak berubah, cuma sekedar kayak orasi kampanye 🙏",Narasi Newsroom
@ikhsanhasbi657,Udah yapping nya Wo?,Narasi Newsroom
@indracahya658,Janji gaji guru naik manaa? 😂 😂😂,Narasi Newsroom
@aisyahmuhammad396,Kok gaada pimred tempo sih😅,Narasi Newsroom
@antonsuhendro5301,Welcome back orba...😂,Narasi Newsroom
@sandrawatty5193,Sy bantu doa aja semoga pak prabowo bs membaws Indonesia lbh baik,Narasi Newsroom
@ekoprasetyo226,Kau yg gelap 🏴,Narasi Newsroom
@pubgkorea-ii3wi,Omon omon sebenarnya,Narasi Newsroom
@jclaire7325,disarankan pake speed 2.0,Narasi Newsroom
@junkoo8421,Terserah loh deh Wowo.... Kn negri ini bubar 2030,Narasi Newsroom
@DatuakSegala,"1. Mengungkap Korupsi besar.
2. Mensejahterakan petani.
3. Mencairkan THR ojol.
4. Mengesahkan UU perlindungan anak di sosmed.
5. Harga sembako stabil sampai detik ini.
6. stop ekspor gas dengan harga murah ke luar negeri
Itu sependek yang saya ketahui.",Narasi Newsroom
@asepudin7156,Benar sekali... Yg nyinyir cuman kelompok yg hati nya jahat,Narasi Newsroom
@Okfamika,"Ada pengembalian aset ngga, dari kasus2 besar? Yg ratusan triliun? Itu cuma gimmick. Asal anda tau. UU perampasan aset aja ngga pernah terealisasi. Kl UU Perampsan aset sudah disahkan, baru ada harapan negara ini.",Narasi Newsroom
@DatuakSegala,@@asepudin7156 jangan terlalu jujur bro🤭,Narasi Newsroom
@DatuakSegala,"@@Okfamika saya sangat setuju kalau UU perampasan aset itu di sah kan. Bilang sana sama ketua nya ""Puan Maharani"". Mungkin dia takut juga dimiskinkan. Eeehhh🤣",Narasi Newsroom
@gilangnugraha3211,"Diungkap gk diusut buat apa bro ? Sama aja bohong kasus kasusnya aja udah ditutup pake berita RK
Sejahtera petani ini dimana ya ? Daerah sini sama aja tuh gk ada yg berubah, mending sadbor aja bro daripada nunjukin minus...wkwk",Narasi Newsroom
@Okfamika,"@@gilangnugraha3211 setuju. Diungkap cuma bikin euforia sesaat, habis itu ilang. Buat apa? Buzzer dibanyakin buat apa? Uang buat bayar buzzer ada, tp ekonomi ga jalan.",Narasi Newsroom
@massuhada5461,"Mungkin jika bkn prabowo BBM sudah naik lagi.
Biasa pembenci akan trus membenci banyak bgt disini oposisi yg berkomentar wkwkw",Narasi Newsroom
@rifqiabbiyu1619,​@@massuhada5461 makan tuh bbm oplosan ngga naik tapi bbm dioplos wkwkkw,Narasi Newsroom
@gilangnugraha3211,"@massuhada5461  kocak minyak naik, udah harusnya juga turun minyak dunia aja udah turun hampir seminggu, baca berita kagak bunyi iya...",Narasi Newsroom
@DatuakSegala,"@@Okfamika mau kalian bilang saya buzzer atau apapun itu, Saya tidak peduli. Sependek yang saya ketahui, beliau orang baik. Saya sekeluarga sudah 3x memilih Pak Prabowo🔥",Narasi Newsroom
@DatuakSegala,@@massuhada5461 harga sembako juga stabil sampai detik ini. Tapi mereka² kok gak setuju ya? 16% ditambah 24% pun gak imbang sama yang 58%. Eehh🤭,Narasi Newsroom
@massuhada5461,@DatuakSegala  biasa bang pembenci kita berdebat jg gk akan menang,Narasi Newsroom
@gilangnugraha3211,"@@DatuakSegala memangnya sembako harus selalu naik ? Ya klo sekarang sampai naik chaos lah indonesia, masa sih gk tau udah ribuan pegawai kena PHK dibeberapa perusahaan, klo lah disaat pengangguran meningkat dan harga kebutuhan hidup meningkat paling rame kayak 98
Emang mau Pemerintah kejadian itu terulang ?",Narasi Newsroom
@axl_turis8331,Disaat dialog ini dmulai ada rakyat yg kelaparan pak,Narasi Newsroom
@xixixinasia10,valentinus resa harusnya iku ini,Narasi Newsroom
@anaswongkamfung8502,Omon omon presiden didepan wartawan .konyol,Narasi Newsroom
@feelosocial,*1:24:40* Prabowo akan bangun sekolah rakyat untuk rakyat miskin sebagai upaya pengentasan kemiskinan,Narasi Newsroom
@effendiCharly,Sang Patriot Sejati Bangsa Indonesia BPK Presiden Prabowo Subianto Djojohadikusumo. Sehat selalu BPK Presiden.,Narasi Newsroom
